"Pracownik";"Początek trasy";"Lokalizacja początku trasy";"Koniec trasy";"Lokalizacja końca trasy";"Długość trasy [km]";"Czas trasy";"Czas postoju";"Średnia prędkość (km/h)";"Maksymalna prędkość (km/h)";"Zużyte paliwo [l]";"Średnie zużycie paliwa l/100km";"Stan licznika na koniec trasy";"Notatka";"Inne parametry"
;"10.01.2021 15:35:29";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko; ul. Kółek Rolniczych; ";"10.01.2021 20:12:30";"Polska; woj. wielkopolskie; p. słupecki; g. Strzałkowo; 62-420;  ";356,2;"4:37:01";"0:42:59";77,2;91,0;88,0;24,7;156286;;
;"10.01.2021 20:55:29";"Polska; woj. wielkopolskie; p. słupecki; g. Strzałkowo; 62-420;  ";"10.01.2021 23:21:31";"Polska; woj. lubuskie; p. sulęciński; g. Torzym; 66-235;m. Torzym; ul. Sulęcińska; dr. 138;";202,9;"2:26:02";"8:52:02";83,4;97,0;51,0;25,1;156489;;
;"13.01.2021 10:26:54";"Polska; woj. dolnośląskie; p. wrocławski; g. Kobierzyce; 55-040;m. Bielany Wrocławskie;  dr. S8;";"13.01.2021 14:22:29";"Polska; woj. mazowieckie; p. przysuski; g. Gielniów; 26-434;  dr. 12;";301,9;"3:55:35";"0:42:29";76,9;92,0;67,0;22,2;157258;;
;"13.01.2021 15:04:58";"Polska; woj. mazowieckie; p. przysuski; g. Gielniów; 26-434;  dr. 12;";"13.01.2021 16:57:08";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko;  ";109,8;"1:52:10";"1:37:14";58,7;90,0;26,5;24,1;157368;;
;"14.01.2021 01:54:27";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko; ul. Kółek Rolniczych; ";"14.01.2021 06:22:25";"Polska; woj. wielkopolskie; p. wrzesiński; g. Września; 62-300; ul. Gozdowo; dr. A2;";366,6;"4:27:58";"0:43:34";82,1;93,0;93,0;25,4;157736;;
;"15.01.2021 14:00:36";"Polska; woj. łódzkie; p. łęczycki; g. Daszyna; 99-107;  ";"15.01.2021 18:31:38";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko; ul. Kółek Rolniczych; ";267,8;"4:31:02";"13:55:23";59,3;90,0;57,5;21,5;158761;;
;"18.01.2021 05:14:13";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko; ul. Kółek Rolniczych; ";"18.01.2021 09:54:22";"Polska; woj. wielkopolskie; p. koniński; g. Rzgów; 62-585; ul. Osiecza Pierwsza; dr. A2;";331,8;"4:40:09";"0:42:56";71,1;91,0;90,5;27,3;159097;;
;"18.01.2021 15:03:47";"Polska; woj. lubuskie; p. sulęciński; g. Torzym; 66-234;  dr. 92;";"18.01.2021 16:52:41";"Niemcy;  ; ; ;m. Stacja benzynowa;  dr. A10;";134,6;"1:48:54";"9:03:28";74,2;92,0;31,0;23,0;159494;;
;"19.01.2021 14:50:16";"Niemcy;  ; ; ;  ";"19.01.2021 17:01:26";"Niemcy;  ; ; ;  dr. A2;";142,0;"2:11:10";"9:54:59";65,0;97,0;36,5;25,7;160197;;
;"20.01.2021 02:56:25";"Niemcy;  ; ; ;  dr. A2;";"20.01.2021 07:27:38";"Niemcy;  ; ; ;  dr. A12;";385,2;"4:31:13";"0:42:04";85,2;97,0;82,5;21,4;160582;;
;"21.01.2021 03:46:56";"Polska; woj. wielkopolskie; p. kolski; g. Kościelec; 62-604; ul. Police Mostowe; dr. A2;";"21.01.2021 07:37:49";"Polska; woj. świętokrzyskie; p. Kielce; g. Kielce; 25-656;m. Kielce; ul. Skrzetlewska; ";234,6;"3:50:53";"0:54:48";61,0;90,0;60,5;25,8;161162;;
;"21.01.2021 08:32:37";"Polska; woj. świętokrzyskie; p. Kielce; g. Kielce; 25-656;m. Kielce; ul. Skrzetlewska; ";"21.01.2021 10:21:55";"Polska; woj. mazowieckie; p. lipski; g. Lipsko; 27-300;m. Lipsko; ul. Kółek Rolniczych; ";107,9;"1:49:18";"1.05:59:35";59,2;94,0;26,5;24,6;161270;;
;"24.01.2021 17:06:11";"Polska; woj. łódzkie; p. łowicki; g. Łyszkowice; 99-418; ul. Polesie; dr. A2;";"24.01.2021 19:09:43";"Polska; woj. wielkopolskie; p. wrzesiński; g. Września; 62-300; ul. Gozdowo; dr. A2;";179,1;"2:03:32";"0:43:05";87,0;91,0;42,5;23,7;161641;;
;"24.01.2021 19:52:48";"Polska; woj. wielkopolskie; p. wrzesiński; g. Września; 62-300; ul. Gozdowo; dr. A2;";"24.01.2021 22:25:22";"Polska; woj. lubuskie; p. sulęciński; g. Torzym; 66-234;  dr. 92;";209,0;"2:32:34";"8:52:01";82,2;96,0;52,5;25,1;161850;;
;"25.01.2021 13:48:58";"Niemcy;  ; ; ;  ";"25.01.2021 17:13:53";"Niemcy;  ; ; ;  dr. A2;";249,8;"3:24:55";"8:52:33";73,1;98,0;58,0;23,2;162225;;
;"26.01.2021 02:06:26";"Niemcy;  ; ; ;  dr. A2;";"26.01.2021 06:33:39";"Niemcy;  ; ; ;  dr. A40;";377,9;"4:27:13";"0:43:10";84,9;101,0;99,0;26,2;162603;;
;"27.01.2021 02:01:35";"Niemcy;  ; ; ;  dr. A3;";"27.01.2021 06:32:29";"Niemcy;  ; ; ;  dr. A2;";389,0;"4:30:54";"0:44:08";86,2;98,0;100,0;25,7;163148;;
;"27.01.2021 07:16:37";"Niemcy;  ; ; ;  dr. A2;";"27.01.2021 11:36:02";"Polska; woj. dolnośląskie; p. bolesławiecki; g. Gromadka; 59-706; ul. Osła; ";366,5;"4:19:25";"0:46:12";84,8;94,0;86,0;23,5;163514;;
;"28.01.2021 03:37:38";"Polska; woj. opolskie; p. kluczborski; g. Kluczbork; 46-200;m. Ligota Dolna; ul. Przemysłowa; ";"28.01.2021 05:51:49";"Polska; woj. łódzkie; p. Łódź; g. Łódź; 93-645;m. Łódź; ul. Giemzów; dr. A1;";164,3;"2:14:11";"0:52:31";73,5;93,0;42,0;25,6;163917;;
;"28.01.2021 06:44:20";"Polska; woj. łódzkie; p. Łódź; g. Łódź; 93-645;m. Łódź; ul. Giemzów; dr. A1;";"28.01.2021 08:29:26";"Polska; woj. mazowieckie; p. warszawski zachodni; g. Ożarów Mazowiecki; 05-850;m. Ożarów Mazowiecki; ul. Radziwiłłów; ";121,0;"1:45:06";"1:28:53";69,1;93,0;28,5;23,6;164038;;
;"28.01.2021 12:09:15";"Polska; woj. mazowieckie; p. pruszkowski; g. Nadarzyn; 05-830;m. Nadarzyn; ul. Al. Katowicka; dr. S8;";"28.01.2021 14:28:02";"Polska; woj. lubelskie; p. puławski; g. Puławy; 24-100;m. Puławy; ul. Al. Partyzantów; dr. 824;";157,1;"2:18:47";"2:11:50";67,9;98,0;46,0;29,3;164232;;
;"01.02.2021 10:42:42";"Polska; woj. łódzkie; p. sieradzki; g. Sieradz; 98-200; ul. Kuśnie; dr. S8;";"01.02.2021 14:19:02";"Polska; woj. dolnośląskie; p. zgorzelecki; g. Zgorzelec; 59-900;m. Jędrzychowice; ul. Jędrzychowice; dr. 94;";310,8;"3:36:20";"0:42:19";86,2;100,0;69,0;22,2;164902;;
;"01.02.2021 15:01:21";"Polska; woj. dolnośląskie; p. zgorzelecki; g. Zgorzelec; 59-900;m. Jędrzychowice; ul. Jędrzychowice; dr. 94;";"01.02.2021 17:13:23";"Niemcy;  ; ; ;m. Chemnitz;  dr. A4;";167,9;"2:12:02";"8:58:07";76,3;98,0;43,0;25,6;165070;;
;"02.02.2021 02:11:30";"Niemcy;  ; ; ;m. Chemnitz;  dr. A4;";"02.02.2021 06:39:12";"Niemcy;  ; ; ;  dr. A7;";380,2;"4:27:42";"0:45:39";85,2;102,0;108,5;28,5;165450;;
;"02.02.2021 08:48:24";"Niemcy;  ; ; ;  ";"02.02.2021 10:34:14";"Niemcy;  ; ; ;  ";122,0;"1:45:50";"0:30:56";69,2;93,0;31,5;25,8;165611;;
;"02.02.2021 13:41:47";"Niemcy;  ; ; ;  ";"02.02.2021 15:13:05";"Niemcy;  ; ; ;  dr. A6;";116,6;"1:31:18";"12:00:16";76,6;94,0;29,0;24,9;165831;;
;"03.02.2021 03:13:21";"Niemcy;  ; ; ;  dr. A6;";"03.02.2021 07:43:56";"Niemcy;  ; ; ;  dr. A4;";388,0;"4:30:35";"0:44:05";86,0;100,0;96,0;24,7;166219;;
