latitude_end,longitude,start_time,end_time,temperature,humidity,windspeed,precipitation
52.300003,17.800003,10.01.2021 15:35:29,10.01.2021 20:12:30,0.5,93,4.7,0.0
52.300003,15.0,10.01.2021 20:55:29,10.01.2021 23:21:31,-0.8,90,12.7,0.0
51.40001,20.5,13.01.2021 10:26:54,13.01.2021 14:22:29,-0.9,86,20.4,0.1
51.199997,21.600006,13.01.2021 15:04:58,13.01.2021 16:57:08,-1.1,85,12.0,0.0
52.300003,17.600006,14.01.2021 01:54:27,14.01.2021 06:22:25,-1.1,97,7.6,0.4
51.199997,21.600006,15.01.2021 14:00:36,15.01.2021 18:31:38,-5.4,72,15.5,0.0
52.199997,18.100006,18.01.2021 05:14:13,18.01.2021 09:54:22,-18.7,83,3.9,0.0
49.5,8.5,19.01.2021 14:50:16,19.01.2021 17:01:26,3.6,83,26.0,0.3
51.300003,6.800003,20.01.2021 02:56:25,20.01.2021 07:27:38,5.6,79,19.7,1.0
50.90001,20.600006,21.01.2021 03:46:56,21.01.2021 07:37:49,-1.6,92,14.8,0.0
51.199997,21.600006,21.01.2021 08:32:37,21.01.2021 10:21:55,1.1,91,16.7,0.0
52.300003,17.600006,24.01.2021 17:06:11,24.01.2021 19:09:43,0.1,98,5.9,0.0
52.300003,14.900009,24.01.2021 19:52:48,24.01.2021 22:25:22,0.0,99,5.1,0.2
49.5,8.5,25.01.2021 13:48:58,25.01.2021 17:13:53,2.8,82,10.0,0.1
50.0,8.600006,26.01.2021 02:06:26,26.01.2021 06:33:39,-0.1,85,15.8,0.0
49.5,8.5,27.01.2021 02:01:35,27.01.2021 06:32:29,-0.6,91,10.3,0.0
51.40001,15.800003,27.01.2021 07:16:37,27.01.2021 11:36:02,-0.4,91,14.0,0.0
51.699997,19.600006,28.01.2021 03:37:38,28.01.2021 05:51:49,-4.3,91,10.3,0.0
52.199997,20.800003,28.01.2021 06:44:20,28.01.2021 08:29:26,-3.4,91,10.0,0.0
51.40001,21.90001,28.01.2021 12:09:15,28.01.2021 14:28:02,0.1,74,13.7,0.0
51.100006,15.0,01.02.2021 10:42:42,01.02.2021 14:19:02,-4.8,57,10.5,0.0
50.90001,12.800003,01.02.2021 15:01:21,01.02.2021 17:13:23,0.6,81,11.6,0.0
51.800003,6.600006,02.02.2021 02:11:30,02.02.2021 06:39:12,0.7,97,7.4,0.0
51.100006,10.5,02.02.2021 08:48:24,02.02.2021 10:34:14,2.8,97,9.6,0.0
51.800003,6.600006,02.02.2021 13:41:47,02.02.2021 15:13:05,4.6,97,10.2,0.2
49.5,8.5,03.02.2021 03:13:21,03.02.2021 07:43:56,10.3,94,13.9,0.1
51.100006,16.199997,03.02.2021 08:28:01,03.02.2021 10:35:16,5.2,91,13.7,0.0
50.5,18.300003,03.02.2021 11:18:59,03.02.2021 13:27:56,5.1,89,19.3,0.0
50.699997,19.90001,04.02.2021 12:47:40,04.02.2021 15:56:08,0.2,84,22.5,0.0
50.90001,22.199997,04.02.2021 16:38:22,04.02.2021 19:35:39,-1.2,81,16.4,0.0
51.90001,19.800003,08.02.2021 12:18:21,08.02.2021 16:25:42,-8.6,82,22.1,0.7
52.199997,18.100006,08.02.2021 17:04:44,08.02.2021 18:52:04,-9.0,85,15.8,0.1
49.5,8.5,10.02.2021 11:42:06,10.02.2021 16:12:12,-6.3,58,15.6,0.2
51.100006,10.5,11.02.2021 03:04:59,11.02.2021 07:57:47,-7.7,91,9.7,0.0
51.90001,19.199997,11.02.2021 09:53:28,11.02.2021 13:31:53,-11.0,76,18.5,0.0
51.199997,21.600006,12.02.2021 09:27:50,12.02.2021 10:56:46,-12.0,72,22.4,0.0
51.300003,18.300003,14.02.2021 15:17:12,14.02.2021 19:10:17,-5.3,84,19.5,0.0
49.5,8.5,16.02.2021 16:35:22,16.02.2021 20:10:45,8.2,80,9.4,0.0
51.40001,18.5,17.02.2021 04:56:55,17.02.2021 09:38:46,-1.1,92,12.3,0.0
51.199997,21.600006,18.02.2021 02:25:28,18.02.2021 04:59:20,-2.7,95,6.6,0.0
52.199997,18.600006,22.02.2021 04:01:43,22.02.2021 07:45:37,0.2,95,9.7,0.0
49.5,8.5,23.02.2021 01:31:12,23.02.2021 06:12:22,7.1,82,4.7,0.0
49.5,8.5,23.02.2021 13:13:02,23.02.2021 15:56:29,18.4,54,10.0,0.0
52.300003,15.0,24.02.2021 03:00:00,24.02.2021 07:13:29,6.4,90,10.3,0.0
52.100006,20.199997,24.02.2021 10:55:52,24.02.2021 12:30:30,10.3,82,9.9,0.0
52.800003,21.90001,24.02.2021 13:53:59,24.02.2021 15:31:04,7.7,88,11.6,0.0
53.800003,22.300003,25.02.2021 03:39:37,25.02.2021 06:34:21,3.2,92,12.6,0.0
52.199997,18.100006,01.03.2021 05:18:00,01.03.2021 09:41:49,1.3,98,7.0,0.0
52.300003,14.900009,01.03.2021 10:24:40,01.03.2021 13:20:23,4.3,87,7.2,0.0
52.300003,14.900009,01.03.2021 10:24:40,01.03.2021 13:20:23,4.3,87,7.2,0.0
49.5,8.5,01.03.2021 14:02:47,01.03.2021 16:50:52,12.2,50,10.3,0.0
51.5,7.5,02.03.2021 02:06:52,02.03.2021 06:24:59,0.6,93,8.8,0.0
49.5,8.5,03.03.2021 03:20:16,03.03.2021 07:49:29,2.8,94,1.5,0.0
52.300003,17.600006,03.03.2021 08:33:41,03.03.2021 12:52:08,1.2,98,4.8,0.0
51.600006,21.5,04.03.2021 11:25:31,04.03.2021 15:13:07,6.9,78,20.5,0.0
52.199997,18.100006,08.03.2021 04:22:07,08.03.2021 08:36:04,-2.8,94,6.4,0.0
52.300003,14.900009,08.03.2021 09:24:18,08.03.2021 12:16:15,2.0,69,7.8,0.0
52.300003,13.600006,08.03.2021 13:00:17,08.03.2021 15:06:29,4.9,45,5.9,0.0
49.5,8.5,09.03.2021 12:43:40,09.03.2021 15:17:54,5.1,73,4.4,0.2
52.40001,14.600006,10.03.2021 02:06:47,10.03.2021 06:56:41,-3.8,76,6.1,0.0
52.199997,18.600006,10.03.2021 08:24:43,10.03.2021 11:49:06,0.3,65,7.1,0.0
52.100006,20.699997,10.03.2021 12:32:50,10.03.2021 14:25:24,3.4,44,6.1,0.0
51.100006,15.0,15.03.2021 08:55:47,15.03.2021 12:25:13,3.6,80,16.0,0.0
49.5,8.5,15.03.2021 13:11:58,15.03.2021 17:42:04,8.4,77,18.3,0.0
51.300003,7.5,16.03.2021 03:45:00,16.03.2021 06:37:36,2.6,97,17.8,0.1
49.5,8.5,17.03.2021 03:43:10,17.03.2021 08:12:45,2.1,95,7.9,0.0
52.300003,15.0,17.03.2021 08:52:22,17.03.2021 12:24:16,2.0,86,10.2,0.0
52.40001,16.5,17.03.2021 13:28:54,17.03.2021 14:41:43,4.6,65,8.8,0.0
49.5,8.5,23.03.2021 00:59:49,23.03.2021 05:39:54,3.0,93,5.1,0.0
52.300003,15.800003,24.03.2021 08:10:57,24.03.2021 12:02:19,5.9,80,8.8,0.0
52.199997,18.100006,24.03.2021 12:46:38,24.03.2021 14:56:32,7.6,67,10.4,0.0
50.90001,20.800003,25.03.2021 01:49:43,25.03.2021 06:10:32,0.8,95,6.2,0.0
52.300003,17.600006,28.03.2021 04:51:12,28.03.2021 09:23:04,1.6,91,16.7,0.0
49.5,8.5,28.03.2021 12:31:20,28.03.2021 14:43:08,13.0,46,16.1,0.0
49.5,8.5,28.03.2021 23:55:40,29.03.2021 04:19:35,6.4,77,7.8,0.0
51.0,6.100006,29.03.2021 05:02:20,29.03.2021 07:18:33,7.7,71,16.8,0.0
51.100006,10.5,29.03.2021 10:51:49,29.03.2021 13:33:01,14.1,52,18.0,0.0
48.40001,10.900009,30.03.2021 03:50:39,30.03.2021 08:24:37,2.3,89,5.7,0.0
51.40001,15.800003,30.03.2021 09:05:03,30.03.2021 11:43:06,15.0,56,12.7,0.0
51.199997,17.199997,31.03.2021 03:07:54,31.03.2021 04:34:47,5.2,90,8.2,0.0
51.300003,18.300003,06.04.2021 04:00:05,06.04.2021 08:00:58,-1.4,82,21.7,0.0
