start_time,end_time,temperature,humidity,wind_speed,precipitation,route_length,average_speed,ave_fuel_cons_per_100km,speedometer,season
2021-01-10 15:35:29,10.01.2021 20:12:30,0.55,88.0,5.050000000000001,0.0,356.2,77.2,24.7,156286,4
2021-01-10 20:55:29,10.01.2021 23:21:31,-0.5,93.0,10.8,0.0,202.9,83.4,25.1,156489,4
2021-01-13 10:26:54,13.01.2021 14:22:29,-0.1,84.5,18.5,0.05,301.9,76.9,22.2,157258,4
2021-01-13 15:04:58,13.01.2021 16:57:08,-1.05,87.0,12.2,0.0,109.8,58.7,24.1,157368,4
2021-01-14 01:54:27,14.01.2021 06:22:25,-2.8,93.5,6.65,0.2,366.6,82.1,25.4,157736,4
2021-01-15 14:00:36,15.01.2021 18:31:38,-4.15,79.5,16.35,0.0,267.8,59.3,21.5,158761,4
2021-01-18 05:14:13,18.01.2021 09:54:22,-18.85,83.5,5.9,0.0,331.8,71.1,27.3,159097,4
2021-01-18 15:03:47,18.01.2021 16:52:41,-2.0,90.0,7.1,0.1,134.6,74.2,23.0,159494,4
2021-01-19 14:50:16,19.01.2021 17:01:26,2.9000000000000004,87.5,27.3,0.4499999999999999,142.0,65.0,25.7,160197,4
2021-01-21 08:32:37,21.01.2021 10:21:55,0.1,91.0,16.45,0.0,107.9,59.2,24.6,161270,4
2021-01-24 17:06:11,24.01.2021 19:09:43,0.5,95.5,8.350000000000001,0.0,179.1,87.0,23.7,161641,4
2021-01-24 19:52:48,24.01.2021 22:25:22,-0.05,98.0,6.6,0.25,209.0,82.2,25.1,161850,4
2021-01-25 13:48:58,25.01.2021 17:13:53,2.1,80.0,9.0,0.05,249.8,73.1,23.2,162225,4
2021-01-26 02:06:26,26.01.2021 06:33:39,-0.25,86.5,15.3,0.0,377.9,84.9,26.2,162603,4
2021-01-27 02:01:35,27.01.2021 06:32:29,-0.6,91.0,10.3,0.0,389.0,86.2,25.7,163148,4
2021-01-27 07:16:37,27.01.2021 11:36:02,-0.1,86.5,13.0,0.0,366.5,84.8,23.5,163514,4
2021-01-28 03:37:38,28.01.2021 05:51:49,-4.1,89.0,10.25,0.0,164.3,73.5,25.6,163917,4
2021-01-28 06:44:20,28.01.2021 08:29:26,-4.35,89.5,12.05,0.0,121.0,69.1,23.6,164038,4
2021-01-28 12:09:15,28.01.2021 14:28:02,0.8,72.0,15.45,0.0,157.1,67.9,29.3,164232,4
2021-02-01 10:42:42,01.02.2021 14:19:02,-6.15,68.5,11.25,0.0,310.8,86.2,22.2,164902,4
2021-02-01 15:01:21,01.02.2021 17:13:23,-1.0,70.5,10.8,0.0,167.9,76.3,25.6,165070,4
