latitude,longitude,start_time,end_time,temperature,humidity,windspeed,precipitation
51.199997,21.600006,10.01.2021 15:35:29,10.01.2021 20:12:30,0.6,83,5.4,0.0
52.300003,17.800003,10.01.2021 20:55:29,10.01.2021 23:21:31,-0.2,96,8.9,0.0
51.0,16.90001,13.01.2021 10:26:54,13.01.2021 14:22:29,0.7,83,16.6,0.0
51.40001,20.5,13.01.2021 15:04:58,13.01.2021 16:57:08,-1.0,89,12.4,0.0
51.199997,21.600006,14.01.2021 01:54:27,14.01.2021 06:22:25,-4.5,90,5.7,0.0
52.199997,19.100006,15.01.2021 14:00:36,15.01.2021 18:31:38,-2.9,87,17.2,0.0
51.199997,21.600006,18.01.2021 05:14:13,18.01.2021 09:54:22,-19.0,84,7.9,0.0
52.300003,14.900009,18.01.2021 15:03:47,18.01.2021 16:52:41,-2.0,90,7.1,0.1
51.100006,10.5,19.01.2021 14:50:16,19.01.2021 17:01:26,2.2,92,28.6,0.6
50.90001,20.600006,21.01.2021 08:32:37,21.01.2021 10:21:55,-0.9,91,16.2,0.0
52.0,20.0,24.01.2021 17:06:11,24.01.2021 19:09:43,0.9,93,10.8,0.0
52.300003,17.600006,24.01.2021 19:52:48,24.01.2021 22:25:22,-0.1,97,8.1,0.3
51.100006,10.5,25.01.2021 13:48:58,25.01.2021 17:13:53,1.4,78,8.0,0.0
49.5,8.5,26.01.2021 02:06:26,26.01.2021 06:33:39,-0.4,88,14.8,0.0
49.5,8.5,27.01.2021 02:01:35,27.01.2021 06:32:29,-0.6,91,10.3,0.0
49.5,8.5,27.01.2021 07:16:37,27.01.2021 11:36:02,0.2,82,12.0,0.0
51.0,18.199997,28.01.2021 03:37:38,28.01.2021 05:51:49,-3.9,87,10.2,0.0
51.699997,19.600006,28.01.2021 06:44:20,28.01.2021 08:29:26,-5.3,88,14.1,0.0
52.100006,20.800003,28.01.2021 12:09:15,28.01.2021 14:28:02,1.5,70,17.2,0.0
51.600006,18.699997,01.02.2021 10:42:42,01.02.2021 14:19:02,-7.5,80,12.0,0.0
51.100006,15.0,01.02.2021 15:01:21,01.02.2021 17:13:23,-2.6,60,10.0,0.0
50.90001,12.800003,02.02.2021 02:11:30,02.02.2021 06:39:12,2.0,96,13.9,0.0
51.100006,10.5,02.02.2021 08:48:24,02.02.2021 10:34:14,2.8,97,9.6,0.0
51.100006,10.5,02.02.2021 13:41:47,02.02.2021 15:13:05,4.3,94,9.0,0.6
51.800003,6.600006,03.02.2021 03:13:21,03.02.2021 07:43:56,8.6,93,18.4,0.0
49.5,8.5,03.02.2021 08:28:01,03.02.2021 10:35:16,10.0,94,11.6,1.3
51.100006,16.199997,03.02.2021 11:18:59,03.02.2021 13:27:56,8.9,84,12.6,0.0
50.100006,18.199997,04.02.2021 12:47:40,04.02.2021 15:56:08,5.6,84,14.4,0.0
50.699997,19.90001,04.02.2021 16:38:22,04.02.2021 19:35:39,-0.7,80,11.7,0.0
51.0,21.300003,08.02.2021 12:18:21,08.02.2021 16:25:42,-8.8,87,19.8,0.7
51.90001,19.800003,08.02.2021 17:04:44,08.02.2021 18:52:04,-8.4,85,15.9,0.1
51.100006,10.5,10.02.2021 11:42:06,10.02.2021 16:12:12,-12.6,83,4.8,0.0
